"Title","151124_sound_stories_dmb_tour 11/23/2015 3:53:47 PM"
"Created","2015-11-24 08:00:05"
"Mailing ID","9715"
"Total Recipients","30316"
"Success","29971"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","56"
"Permanent Failure","289"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","345"
"Opens","10,637"
"Unique Opens","6,913","23%"
"Clickthroughs","730"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://bit.ly/1kQEJb8","1","1","0%"
"http://bit.ly/1NhAeTh","1","1","0%"
"http://bit.ly/1NoxF1N","69","68","0%"
"http://bit.ly/1SgiTYU","393","352","1%"
"http://bit.ly/1SXB2e6","82","79","0%"
"http://bit.ly/1XmOFoq","4","3","0%"
"http://bit.ly/1YpGlXy","85","79","0%"
"http://twitter.com/ApexAcoustics","5","2","0%"
"http://twitter.com/billboard","3","3","0%"
"http://twitter.com/edsheeran","1","1","0%"
"http://twitter.com/GratefulDead","3","3","0%"
"http://twitter.com/meyersound/","6","6","0%"
"http://twitter.com/onedirection","1","1","0%"
"http://twitter.com/PROmontaje","2","2","0%"
"http://twitter.com/search?q=#soundmatters","1","1","0%"
"http://twitter.com/VzlaSiHayFuturo","1","1","0%"
"http://www.meyersound.com/news/email/","20","20","0%"
"http://www.meyersound.com/news/email/email_to_friend/?ss=2&id=34","13","13","0%"
"http://www.meyersound.com/news/sound_stories_archives/sound_stories_234.html","29","27","0%"
"https://t.co/mBQ9kqlYUi","3","3","0%"
"https://twitter.com/hashtag/edinburgh","3","3","0%"
"https://twitter.com/hashtag/Leopard","2","2","0%"
"https://twitter.com/hashtag/soundmatters","1","1","0%"
"https://twitter.com/hashtag/usherhall","1","1","0%"
