"Title","1512_amie_launch 12/3/2015 11:40:07 AM"
"Created","2015-12-03 11:45:07"
"Mailing ID","9771"
"Total Recipients","37669"
"Success","37561"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","17"
"Permanent Failure","91"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","108"
"Opens","16,496"
"Unique Opens","9,356","24%"
"Clickthroughs","2,083"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://eoaclk.com/1uVcpbVQVB/[emailaddr]/","258","239","0%"
"http://eoaclk.com/aGk48OhyZL/[emailaddr]/","49","42","0%"
"http://eoaclk.com/CszU0L07Sa/[emailaddr]/","63","51","0%"
"http://eoaclk.com/f5Jc7aapjS/[emailaddr]/","27","19","0%"
"http://eoaclk.com/ibPjySEAQ2/[emailaddr]/?variant=4743408324","1039","967","2%"
"http://eoaclk.com/Vc2QOOAKhv/[emailaddr]/","647","593","1%"
