"Title","151215_sound_source 12/14/2015 3:07:19 PM"
"Created","2015-12-15 09:19:01"
"Mailing ID","9811"
"Total Recipients","32424"
"Success","32353"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","27"
"Permanent Failure","44"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","71"
"Opens","10,522"
"Unique Opens","6,970","21%"
"Clickthroughs","484"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://eoaclk.com/1E2jzBfswd/[emailaddr]/?id=01143","1","1","0%"
"http://eoaclk.com/2hm6Q4tW9r/[emailaddr]/","1","1","0%"
"http://eoaclk.com/47NumXqJox/[emailaddr]/","27","26","0%"
"http://eoaclk.com/4gyqKMnr4H/[emailaddr]/","37","35","0%"
"http://eoaclk.com/7AcseVytLP/[emailaddr]/?id=01151","8","8","0%"
"http://eoaclk.com/7ph7ionVPo/[emailaddr]/","5","5","0%"
"http://eoaclk.com/aAnVndPuIK/[emailaddr]/","5","4","0%"
"http://eoaclk.com/DsRygiOfyz/[emailaddr]/","4","4","0%"
"http://eoaclk.com/ev1nspo1vl/[emailaddr]/","8","8","0%"
"http://eoaclk.com/F34mbULXhX/[emailaddr]/","13","13","0%"
"http://eoaclk.com/gG4JRiZUIl/[emailaddr]/","3","2","0%"
"http://eoaclk.com/GLj63AYTRx/[emailaddr]/","8","8","0%"
"http://eoaclk.com/hqUzHH7Njv/[emailaddr]/?id=01154","6","6","0%"
"http://eoaclk.com/hzeHFpYrvt/[emailaddr]/?id=01150","12","8","0%"
"http://eoaclk.com/i6XuL1lrd9/[emailaddr]/","3","3","0%"
"http://eoaclk.com/jKzCdxDdoG/[emailaddr]/","3","3","0%"
"http://eoaclk.com/JXKTZvUJ4z/[emailaddr]/","118","109","0%"
"http://eoaclk.com/m0ZAZ5Khux/[emailaddr]/?id=01142","14","12","0%"
"http://eoaclk.com/Mq6LsEkDtu/[emailaddr]/","7","6","0%"
"http://eoaclk.com/pRn1B9F0UB/[emailaddr]/","15","15","0%"
"http://eoaclk.com/Q2vdUUF32e/[emailaddr]/","17","13","0%"
"http://eoaclk.com/QAafG98nFC/[emailaddr]/","5","4","0%"
"http://eoaclk.com/Qoexnx6vAQ/[emailaddr]/?id=01151","10","9","0%"
"http://eoaclk.com/RhWKJfRSOF/[emailaddr]/","9","8","0%"
"http://eoaclk.com/rneKGFfzV3/[emailaddr]/","31","29","0%"
"http://eoaclk.com/RriThFbkPY/[emailaddr]/?id=01143","2","2","0%"
"http://eoaclk.com/tGeE61gK4V/[emailaddr]/?id=01154","5","5","0%"
"http://eoaclk.com/v3Whs9vSy1/[emailaddr]/?id=01150","3","3","0%"
"http://eoaclk.com/W0kkU5V7Y5/[emailaddr]/","23","23","0%"
"http://eoaclk.com/WT9VyBz4fr/[emailaddr]/","2","2","0%"
"http://eoaclk.com/WtJsKL5q3U/[emailaddr]/","10","10","0%"
"http://eoaclk.com/xS5j3xtcwC/[emailaddr]/","40","38","0%"
"http://eoaclk.com/xzY1fLNJjE/[emailaddr]/?id=01142","8","8","0%"
"http://eoaclk.com/Zu4wbgMyKV/[emailaddr]/","19","18","0%"
"http://www.meyersound.com/mail/seminars.html","2","2","0%"
