"Title","151216_ddr_internal 12/16/2015 4:08:12 PM"
"Created","2015-12-16 16:40:22"
"Mailing ID","9877"
"Total Recipients","100"
"Success","100"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","0"
"Permanent Failure","0"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","0"
"Opens","243"
"Unique Opens","68","68%"
"Clickthroughs","26"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://meyersound.com/product/leopard/presentation.php","26","23","23%"
