"Title","151216_thinking_sound_vol_34 12/16/2015 4:15:40 PM"
"Created","2015-12-16 16:56:16"
"Mailing ID","9878"
"Total Recipients","34487"
"Success","34442"
"Pending","0"
"Not Attempted","0"
"Active","0"
"Retry","0"
"Transient Failure","15"
"Permanent Failure","30"
"Expired","0"
"Paused","0"
"Mail Merge Skipped","0"
"Mail Merge Abort","0"
"Total Undelivered","45"
"Opens","12,278"
"Unique Opens","7,820","22%"
"Clickthroughs","57"
"Clickstreams","0"
"URL","Count","Unique Count","Percent"
"http://www.meyersound.com/mail/newsletter/thinkingsound033.html","57","54","0%"
